Student_ID,Gender,Grade_Level,Study_Hours,Attendance (%),Exam_Score,Parent_Education,Satisfaction_Level,Extra_Curricular,Internet_Access,Daily_Screen_Time,Part_Time_Job,Health_Status
1001,Male,9,3.75,83,84,Master's,Neutral,No,No,7.79,No,Average
1002,Male,9,5.28,82,71,Master's,Very Satisfied,Yes,No,2.51,No,Average
1003,Male,12,5.37,92,67,High School,Unsatisfied,Yes,Yes,2.32,No,Average
1004,Male,9,3.81,80,68,Bachelor's,Satisfied,Yes,Yes,2.87,No,Excellent
1005,Female,10,3.36,65,49,Bachelor's,Neutral,Yes,Yes,4.05,No,Good
1006,Male,10,2.16,74,79,Master's,Satisfied,Yes,Yes,1.41,No,Average
1007,Male,10,1.64,70,96,PhD,Satisfied,No,No,4.03,No,Average
1008,Male,12,2.66,85,53,High School,Very Satisfied,Yes,Yes,6.54,No,Excellent
1009,Female,9,2.18,86,57,Master's,Satisfied,No,Yes,4.23,Yes,Good
1010,Female,9,3.56,78,70,Bachelor's,Very Satisfied,Yes,Yes,3.56,No,Good
1011,Female,10,2.1,100,74,Master's,Unsatisfied,No,Yes,3.07,Yes,Good
1012,Male,11,1.41,93,56,PhD,Very Satisfied,No,Yes,5.35,No,Average
1013,Male,12,3.31,65,55,Bachelor's,Satisfied,Yes,Yes,2.76,No,Excellent
1014,Female,10,3.3,92,77,Bachelor's,Neutral,No,Yes,6.77,No,Good
1015,Female,9,2.83,81,52,Master's,Neutral,Yes,Yes,6.9,No,Average
1016,Male,10,1.92,80,90,Bachelor's,Neutral,No,Yes,4.39,No,Excellent
1017,Male,11,3.52,67,79,Master's,Satisfied,No,Yes,3.98,No,Good
1018,Male,9,2.42,78,84,Master's,Satisfied,Yes,Yes,5.55,No,Average
1019,Male,10,4.55,94,62,PhD,Satisfied,Yes,Yes,5.64,No,Good
1020,Female,10,2.54,88,89,Master's,Satisfied,Yes,Yes,2.79,No,Average
1021,Female,10,2.28,83,58,Bachelor's,Neutral,Yes,No,3.21,No,Average
1022,Female,12,1.21,93,95,PhD,Satisfied,Yes,No,2.02,No,Good
1023,Male,10,2.89,95,80,Bachelor's,Unsatisfied,Yes,No,4.61,Yes,Average
1024,Male,9,2.03,88,98,High School,Neutral,Yes,Yes,5,No,Excellent
1025,Female,9,2.95,100,35,Bachelor's,Satisfied,No,Yes,1.98,No,Excellent
1026,Female,11,4.23,85,70,PhD,Very Satisfied,Yes,Yes,3.32,No,Poor
1027,Male,9,3.14,65,71,Master's,Satisfied,Yes,Yes,1.98,No,Good
1028,Female,11,3.54,99,67,High School,Satisfied,No,No,2.65,No,Excellent
1029,Female,9,1.79,79,88,PhD,Very Satisfied,Yes,Yes,4.83,Yes,Good
1030,Female,10,3.49,79,82,Bachelor's,Neutral,Yes,Yes,2.9,Yes,Good
1031,Female,10,3.15,94,64,High School,Satisfied,Yes,No,3.55,No,Average
1032,Male,11,2.51,81,53,Bachelor's,Neutral,No,Yes,1.56,No,Good
1033,Female,11,3.44,87,75,High School,Neutral,No,Yes,4.28,No,Good
1034,Male,9,2.65,70,68,Master's,Very Satisfied,Yes,Yes,3.93,No,Excellent
1035,Male,10,2.49,76,72,Master's,Very Satisfied,No,Yes,2.91,No,Average
1036,Male,11,3.61,100,77,Bachelor's,Satisfied,Yes,Yes,3.72,No,Excellent
1037,Male,10,3.39,84,46,Master's,Satisfied,No,Yes,4.27,No,Average
1038,Female,12,2.96,85,100,PhD,Satisfied,No,Yes,2.78,No,Excellent
1039,Male,10,2.71,88,74,High School,Unsatisfied,No,Yes,1.79,No,Good
1040,Male,10,1.25,96,86,High School,Satisfied,Yes,Yes,6.71,No,Good
1041,Male,10,4.19,75,96,High School,Unsatisfied,Yes,Yes,3.05,No,Good
1042,Female,9,0.9,90,100,Bachelor's,Neutral,Yes,Yes,3.85,No,Average
1043,Female,10,1.51,79,76,Bachelor's,Satisfied,No,Yes,5.52,No,Average
1044,Female,10,2.24,69,76,Master's,Very Satisfied,Yes,No,9.29,No,Average
1045,Male,9,1.41,89,61,High School,Satisfied,No,Yes,2.13,No,Average
1046,Female,12,5.32,77,70,Bachelor's,Satisfied,No,Yes,4.67,No,Average
1047,Male,9,4.22,72,78,Bachelor's,Satisfied,Yes,Yes,2.94,No,Good
1048,Male,10,4.96,68,77,High School,Satisfied,No,Yes,3.19,No,Good
1049,Male,12,3.39,92,56,High School,Satisfied,No,Yes,2.92,No,Average
1050,Male,12,1.02,90,79,Master's,Very Satisfied,No,Yes,2.31,No,Excellent
1051,Male,9,3.38,88,64,Master's,Satisfied,No,Yes,3.94,No,Good
1052,Male,9,3.35,87,64,PhD,Very Satisfied,No,Yes,1.79,No,Excellent
1053,Male,12,5.8,89,57,Bachelor's,Neutral,Yes,Yes,5.42,No,Good
1054,Female,9,3.98,75,86,High School,Unsatisfied,No,No,4.08,No,Average
1055,Female,11,4.74,76,89,PhD,Satisfied,Yes,Yes,4.63,No,Good
1056,Female,12,3.62,93,100,Master's,Satisfied,No,No,3.3,Yes,Good
1057,Female,10,2.63,77,61,High School,Neutral,No,Yes,3.45,No,Poor
1058,Male,9,1.78,84,80,Master's,Unsatisfied,Yes,Yes,4.43,No,Poor
1059,Female,10,3.42,93,75,High School,Satisfied,No,Yes,2.25,No,Average
1060,Male,9,5.18,82,100,Bachelor's,Satisfied,Yes,Yes,3.46,No,Average
1061,Male,12,3.94,76,58,High School,Very Satisfied,Yes,Yes,2.71,No,Good
1062,Male,9,3.72,82,85,Master's,Satisfied,Yes,Yes,2.66,No,Good
1063,Female,11,3.71,84,62,High School,Satisfied,No,Yes,1,No,Average
1064,Male,11,0.73,80,87,Bachelor's,Satisfied,No,Yes,6.01,No,Good
1065,Female,12,3.32,72,77,Bachelor's,Satisfied,No,Yes,2.97,No,Good
1066,Male,9,3.58,76,77,Bachelor's,Very Satisfied,Yes,Yes,5.75,No,Average
1067,Male,9,3.09,73,80,Bachelor's,Satisfied,No,Yes,5.6,No,Poor
1068,Male,11,3.84,95,90,PhD,Very Satisfied,No,Yes,2.07,No,Poor
1069,Female,11,0.93,75,82,High School,Very Satisfied,Yes,Yes,2.37,No,Average
1070,Female,9,3.77,90,100,Master's,Satisfied,Yes,Yes,7.84,No,Average
1071,Male,10,3.86,96,89,Bachelor's,Very Satisfied,Yes,Yes,6.63,No,Average
1072,Male,11,3.98,81,86,Bachelor's,Neutral,No,Yes,3.95,Yes,Good
1073,Female,10,1.84,82,67,Master's,Very Satisfied,No,Yes,4.39,No,Good
1074,Female,11,3.12,100,46,PhD,Very Satisfied,No,No,3.05,No,Average
1075,Male,12,4.03,68,67,Master's,Unsatisfied,Yes,Yes,4.65,No,Average
1076,Female,10,4.63,85,58,Master's,Neutral,No,Yes,2.92,Yes,Good
1077,Female,12,1.93,91,64,Bachelor's,Neutral,Yes,Yes,1,Yes,Excellent
1078,Male,9,3.32,85,65,Master's,Satisfied,Yes,Yes,2.02,No,Good
1079,Male,12,6.22,91,44,High School,Satisfied,No,Yes,4.03,No,Good
1080,Male,11,3.28,78,87,High School,Neutral,Yes,Yes,2.3,Yes,Average
1081,Male,11,1.81,83,82,Master's,Very Satisfied,No,Yes,3.9,No,Average
1082,Female,10,4.3,72,69,PhD,Neutral,Yes,Yes,2.39,No,Excellent
1083,Male,10,2.29,78,100,PhD,Unsatisfied,No,Yes,2.83,No,Poor
1084,Female,12,3.61,72,88,Master's,Very Satisfied,Yes,Yes,5.28,Yes,Excellent
1085,Male,11,6.18,95,52,High School,Satisfied,Yes,Yes,4.37,Yes,Good
1086,Female,9,2.27,97,64,PhD,Neutral,Yes,Yes,3.99,No,Good
1087,Female,11,3.67,92,61,Bachelor's,Satisfied,Yes,Yes,5.32,No,Poor
1088,Male,10,2.91,52,59,High School,Neutral,No,Yes,4.72,No,Good
1089,Female,11,2.62,72,99,PhD,Very Satisfied,Yes,Yes,6.17,Yes,Good
1090,Female,11,0.85,80,76,Master's,Satisfied,No,Yes,3.31,No,Average
1091,Female,9,5.16,70,92,High School,Very Satisfied,No,No,3.36,No,Average
1092,Male,11,3.02,75,81,High School,Satisfied,Yes,Yes,2.05,No,Excellent
1093,Female,11,3.3,78,76,Bachelor's,Very Satisfied,Yes,Yes,3.36,No,Good
1094,Male,12,2.42,86,84,PhD,Neutral,No,Yes,5.45,No,Good
1095,Male,12,5.38,72,100,High School,Very Satisfied,No,Yes,5.95,No,Poor
1096,Male,11,0.07,83,83,Bachelor's,Very Satisfied,No,Yes,5.44,No,Good
1097,Female,11,3.42,78,71,Master's,Neutral,Yes,Yes,1.31,No,Good
1098,Female,11,2.26,79,87,Master's,Satisfied,No,No,5.62,Yes,Good
1099,Female,10,3.54,78,88,High School,Satisfied,Yes,Yes,1.24,No,Good
1100,Female,10,3.46,93,84,Master's,Satisfied,No,Yes,5.35,No,Good
1101,Male,11,1.76,79,86,Bachelor's,Satisfied,No,Yes,3.45,No,Good
1102,Female,12,3.92,84,76,Bachelor's,Satisfied,Yes,Yes,5.05,Yes,Average
1103,Female,10,4.92,79,83,Master's,Neutral,Yes,Yes,2,No,Excellent
1104,Female,9,2.7,82,91,Master's,Satisfied,Yes,Yes,5.76,Yes,Good
1105,Female,10,4.24,93,94,Master's,Neutral,Yes,Yes,1.8,No,Average
1106,Male,10,3.03,91,70,PhD,Satisfied,No,Yes,3,No,Good
1107,Male,12,3.49,83,76,Bachelor's,Satisfied,Yes,Yes,2.5,No,Excellent
1108,Male,12,3.89,76,100,Bachelor's,Neutral,Yes,No,1.37,No,Average
1109,Male,9,1.49,72,92,Master's,Neutral,Yes,Yes,4.14,No,Average
1110,Female,9,4.19,91,84,Bachelor's,Very Satisfied,No,Yes,6.71,No,Good
1111,Male,12,2.98,76,76,High School,Satisfied,No,Yes,8,Yes,Average
1112,Female,12,1.98,94,72,Master's,Satisfied,Yes,Yes,4.15,No,Good
1113,Female,12,1.76,81,81,PhD,Satisfied,Yes,No,5.68,Yes,Average
1114,Female,12,2.15,76,78,Bachelor's,Neutral,No,Yes,4.35,No,Good
1115,Female,12,3.37,79,67,Master's,Neutral,No,Yes,4.75,Yes,Poor
1116,Male,11,3.35,70,53,High School,Satisfied,Yes,Yes,3.49,No,Poor
1117,Male,10,1.92,82,79,High School,Satisfied,Yes,Yes,4.29,No,Excellent
1118,Male,10,5.21,93,72,High School,Satisfied,Yes,No,4.81,No,Good
1119,Female,12,2.97,74,74,High School,Very Satisfied,Yes,Yes,3.13,No,Average
1120,Female,9,2.57,88,62,PhD,Satisfied,Yes,Yes,3.88,Yes,Average
1121,Female,12,3.78,100,73,High School,Satisfied,No,Yes,3.91,No,Good
1122,Female,12,3.6,91,68,Bachelor's,Satisfied,Yes,No,5.24,No,Good
1123,Male,12,3.34,85,76,High School,Satisfied,No,Yes,2.4,No,Excellent
1124,Male,12,1.84,85,82,Bachelor's,Satisfied,Yes,Yes,3.92,No,Excellent
1125,Female,10,5.18,94,100,Master's,Very Satisfied,No,Yes,6.87,No,Good
1126,Male,12,1.85,93,77,Bachelor's,Satisfied,No,Yes,5.75,Yes,Good
1127,Male,12,6.28,76,62,High School,Satisfied,Yes,Yes,6.02,No,Good
1128,Male,11,2.1,63,67,Bachelor's,Neutral,Yes,Yes,4.04,Yes,Good
1129,Female,11,1.86,86,80,Master's,Satisfied,No,Yes,4.48,Yes,Average
1130,Female,11,5.81,94,66,Master's,Satisfied,Yes,Yes,5.5,No,Average
1131,Male,11,1.65,89,55,High School,Unsatisfied,Yes,Yes,6.34,No,Poor
1132,Male,9,5.75,96,67,PhD,Neutral,Yes,Yes,1.07,No,Poor
1133,Male,10,0.43,98,73,High School,Satisfied,No,Yes,2.03,No,Average
1134,Male,10,4.86,69,66,Bachelor's,Neutral,Yes,Yes,5.96,No,Good
1135,Female,10,3.01,85,68,Master's,Very Satisfied,No,No,3.58,No,Good
1136,Male,10,3.93,74,72,PhD,Neutral,Yes,Yes,2.99,No,Good
1137,Male,11,3.18,90,85,Bachelor's,Very Satisfied,No,Yes,2.12,No,Average
1138,Female,12,1.31,69,94,PhD,Neutral,Yes,Yes,3.17,No,Poor
1139,Male,9,3.5,77,98,Master's,Satisfied,No,Yes,1.9,Yes,Good
1140,Male,9,3.17,96,76,Bachelor's,Satisfied,Yes,Yes,7.14,No,Average
1141,Female,9,6.09,100,71,Bachelor's,Satisfied,No,Yes,3.97,No,Good
1142,Female,12,4.46,91,95,High School,Very Satisfied,No,Yes,3.91,No,Excellent
1143,Female,10,1.55,91,90,Bachelor's,Satisfied,Yes,No,4.88,No,Average
1144,Female,12,0.36,73,44,Bachelor's,Very Satisfied,Yes,Yes,5.44,No,Average
1145,Female,11,2.6,92,97,PhD,Very Satisfied,Yes,Yes,5.42,No,Good
1146,Male,11,3.11,100,54,PhD,Neutral,Yes,Yes,5.61,No,Excellent
1147,Female,12,0.44,84,80,Bachelor's,Satisfied,No,Yes,3.05,No,Good
1148,Female,10,2.95,64,73,Bachelor's,Satisfied,Yes,Yes,3.55,No,Excellent
1149,Female,11,1.04,91,80,Bachelor's,Satisfied,Yes,Yes,5.15,No,Average
1150,Female,9,1.59,79,59,Bachelor's,Neutral,No,Yes,3.21,Yes,Excellent
1151,Male,12,2.91,94,60,Bachelor's,Satisfied,Yes,Yes,3.99,Yes,Average
1152,Female,12,3.76,79,63,Bachelor's,Unsatisfied,Yes,No,4.6,No,Poor
1153,Female,10,2.84,74,66,Bachelor's,Neutral,Yes,Yes,5.18,No,Excellent
1154,Female,12,1.2,100,75,Bachelor's,Satisfied,No,Yes,1.33,No,Excellent
1155,Female,11,1.95,87,73,Master's,Neutral,No,Yes,5.07,No,Poor
1156,Female,10,2.67,91,86,High School,Neutral,No,Yes,3.65,No,Average
1157,Male,10,2.2,79,70,High School,Satisfied,Yes,Yes,5.06,No,Poor
1158,Female,11,0,69,95,PhD,Very Satisfied,No,Yes,5.17,No,Average
1159,Female,10,5.47,82,83,Bachelor's,Satisfied,Yes,No,6.41,No,Average
1160,Male,11,3.47,100,91,High School,Unsatisfied,Yes,No,6.03,Yes,Excellent
1161,Female,10,2.81,75,50,Master's,Satisfied,Yes,Yes,6.02,No,Good
1162,Male,9,3.31,77,53,Bachelor's,Satisfied,Yes,Yes,6.17,No,Good
1163,Female,11,2.03,74,100,High School,Unsatisfied,Yes,Yes,4.44,No,Good
1164,Female,9,4.32,84,97,Master's,Satisfied,Yes,Yes,4.05,No,Good
1165,Male,9,3.12,76,97,High School,Very Satisfied,Yes,Yes,5.31,Yes,Good
1166,Female,9,3.81,74,72,PhD,Neutral,Yes,Yes,5.1,No,Good
1167,Female,10,1.69,71,88,Master's,Satisfied,No,Yes,3.54,Yes,Average
1168,Female,11,5.86,71,83,PhD,Very Satisfied,Yes,Yes,4.61,No,Good
