Gender,Grade_Level,Study_Hours,Attendance (%),Exam_Score,Extra_Curricular,Internet_Access,Daily_Screen_Time,Part_Time_Job,Parent_Education_High School,Parent_Education_Master's,Parent_Education_PhD,Satisfaction_Level_Satisfied,Satisfaction_Level_Unsatisfied,Satisfaction_Level_Very Satisfied,Health_Status_Excellent,Health_Status_Good,Health_Status_Poor
1,9,3,83,84,0,0,7,0,0,1,0,0,0,0,0,0,0
1,9,5,82,71,1,0,2,0,0,1,0,0,0,1,0,0,0
1,12,5,92,67,1,1,2,0,1,0,0,0,1,0,0,0,0
1,9,3,80,68,1,1,2,0,0,0,0,1,0,0,1,0,0
0,10,3,65,49,1,1,4,0,0,0,0,0,0,0,0,1,0
1,10,2,74,79,1,1,1,0,0,1,0,1,0,0,0,0,0
1,10,1,70,96,0,0,4,0,0,0,1,1,0,0,0,0,0
1,12,2,85,53,1,1,6,0,1,0,0,0,0,1,1,0,0
0,9,2,86,57,0,1,4,1,0,1,0,1,0,0,0,1,0
0,9,3,78,70,1,1,3,0,0,0,0,0,0,1,0,1,0
0,10,2,100,74,0,1,3,1,0,1,0,0,1,0,0,1,0
1,11,1,93,56,0,1,5,0,0,0,1,0,0,1,0,0,0
1,12,3,65,55,1,1,2,0,0,0,0,1,0,0,1,0,0
0,10,3,92,77,0,1,6,0,0,0,0,0,0,0,0,1,0
0,9,2,81,52,1,1,6,0,0,1,0,0,0,0,0,0,0
1,10,1,80,90,0,1,4,0,0,0,0,0,0,0,1,0,0
1,11,3,67,79,0,1,3,0,0,1,0,1,0,0,0,1,0
1,9,2,78,84,1,1,5,0,0,1,0,1,0,0,0,0,0
1,10,4,94,62,1,1,5,0,0,0,1,1,0,0,0,1,0
0,10,2,88,89,1,1,2,0,0,1,0,1,0,0,0,0,0
0,10,2,83,58,1,0,3,0,0,0,0,0,0,0,0,0,0
0,12,1,93,95,1,0,2,0,0,0,1,1,0,0,0,1,0
1,10,2,95,80,1,0,4,1,0,0,0,0,1,0,0,0,0
1,9,2,88,98,1,1,5,0,1,0,0,0,0,0,1,0,0
0,9,2,100,35,0,1,1,0,0,0,0,1,0,0,1,0,0
0,11,4,85,70,1,1,3,0,0,0,1,0,0,1,0,0,1
1,9,3,65,71,1,1,1,0,0,1,0,1,0,0,0,1,0
0,11,3,99,67,0,0,2,0,1,0,0,1,0,0,1,0,0
0,9,1,79,88,1,1,4,1,0,0,1,0,0,1,0,1,0
0,10,3,79,82,1,1,2,1,0,0,0,0,0,0,0,1,0
0,10,3,94,64,1,0,3,0,1,0,0,1,0,0,0,0,0
1,11,2,81,53,0,1,1,0,0,0,0,0,0,0,0,1,0
0,11,3,87,75,0,1,4,0,1,0,0,0,0,0,0,1,0
1,9,2,70,68,1,1,3,0,0,1,0,0,0,1,1,0,0
1,10,2,76,72,0,1,2,0,0,1,0,0,0,1,0,0,0
1,11,3,100,77,1,1,3,0,0,0,0,1,0,0,1,0,0
1,10,3,84,46,0,1,4,0,0,1,0,1,0,0,0,0,0
0,12,2,85,100,0,1,2,0,0,0,1,1,0,0,1,0,0
1,10,2,88,74,0,1,1,0,1,0,0,0,1,0,0,1,0
1,10,1,96,86,1,1,6,0,1,0,0,1,0,0,0,1,0
1,10,4,75,96,1,1,3,0,1,0,0,0,1,0,0,1,0
0,9,0,90,100,1,1,3,0,0,0,0,0,0,0,0,0,0
0,10,1,79,76,0,1,5,0,0,0,0,1,0,0,0,0,0
0,10,2,69,76,1,0,9,0,0,1,0,0,0,1,0,0,0
1,9,1,89,61,0,1,2,0,1,0,0,1,0,0,0,0,0
0,12,5,77,70,0,1,4,0,0,0,0,1,0,0,0,0,0
1,9,4,72,78,1,1,2,0,0,0,0,1,0,0,0,1,0
1,10,4,68,77,0,1,3,0,1,0,0,1,0,0,0,1,0
1,12,3,92,56,0,1,2,0,1,0,0,1,0,0,0,0,0
1,12,1,90,79,0,1,2,0,0,1,0,0,0,1,1,0,0
1,9,3,88,64,0,1,3,0,0,1,0,1,0,0,0,1,0
1,9,3,87,64,0,1,1,0,0,0,1,0,0,1,1,0,0
1,12,5,89,57,1,1,5,0,0,0,0,0,0,0,0,1,0
0,9,3,75,86,0,0,4,0,1,0,0,0,1,0,0,0,0
0,11,4,76,89,1,1,4,0,0,0,1,1,0,0,0,1,0
0,12,3,93,100,0,0,3,1,0,1,0,1,0,0,0,1,0
0,10,2,77,61,0,1,3,0,1,0,0,0,0,0,0,0,1
1,9,1,84,80,1,1,4,0,0,1,0,0,1,0,0,0,1
0,10,3,93,75,0,1,2,0,1,0,0,1,0,0,0,0,0
1,9,5,82,100,1,1,3,0,0,0,0,1,0,0,0,0,0
1,12,3,76,58,1,1,2,0,1,0,0,0,0,1,0,1,0
1,9,3,82,85,1,1,2,0,0,1,0,1,0,0,0,1,0
0,11,3,84,62,0,1,1,0,1,0,0,1,0,0,0,0,0
1,11,0,80,87,0,1,6,0,0,0,0,1,0,0,0,1,0
0,12,3,72,77,0,1,2,0,0,0,0,1,0,0,0,1,0
1,9,3,76,77,1,1,5,0,0,0,0,0,0,1,0,0,0
1,9,3,73,80,0,1,5,0,0,0,0,1,0,0,0,0,1
1,11,3,95,90,0,1,2,0,0,0,1,0,0,1,0,0,1
0,11,0,75,82,1,1,2,0,1,0,0,0,0,1,0,0,0
0,9,3,90,100,1,1,7,0,0,1,0,1,0,0,0,0,0
1,10,3,96,89,1,1,6,0,0,0,0,0,0,1,0,0,0
1,11,3,81,86,0,1,3,1,0,0,0,0,0,0,0,1,0
0,10,1,82,67,0,1,4,0,0,1,0,0,0,1,0,1,0
0,11,3,100,46,0,0,3,0,0,0,1,0,0,1,0,0,0
1,12,4,68,67,1,1,4,0,0,1,0,0,1,0,0,0,0
0,10,4,85,58,0,1,2,1,0,1,0,0,0,0,0,1,0
0,12,1,91,64,1,1,1,1,0,0,0,0,0,0,1,0,0
1,9,3,85,65,1,1,2,0,0,1,0,1,0,0,0,1,0
1,12,6,91,44,0,1,4,0,1,0,0,1,0,0,0,1,0
1,11,3,78,87,1,1,2,1,1,0,0,0,0,0,0,0,0
1,11,1,83,82,0,1,3,0,0,1,0,0,0,1,0,0,0
0,10,4,72,69,1,1,2,0,0,0,1,0,0,0,1,0,0
1,10,2,78,100,0,1,2,0,0,0,1,0,1,0,0,0,1
0,12,3,72,88,1,1,5,1,0,1,0,0,0,1,1,0,0
1,11,6,95,52,1,1,4,1,1,0,0,1,0,0,0,1,0
0,9,2,97,64,1,1,3,0,0,0,1,0,0,0,0,1,0
0,11,3,92,61,1,1,5,0,0,0,0,1,0,0,0,0,1
1,10,2,52,59,0,1,4,0,1,0,0,0,0,0,0,1,0
0,11,2,72,99,1,1,6,1,0,0,1,0,0,1,0,1,0
0,11,0,80,76,0,1,3,0,0,1,0,1,0,0,0,0,0
0,9,5,70,92,0,0,3,0,1,0,0,0,0,1,0,0,0
1,11,3,75,81,1,1,2,0,1,0,0,1,0,0,1,0,0
0,11,3,78,76,1,1,3,0,0,0,0,0,0,1,0,1,0
